desc,likesCount,commentCount,viewCount,support
#prolife #progun #conservative #fyp #trumptrain2020 #republican #doitbold,779100,28100,4100000,0
"we'll be right, thanks. new zealand.. anyone? #bidenharris2020 #straya #aussie #biden2020",8300000,86400,34400000,1
part 5 lmao. got a lot of mean libs this time🥰🥰 #cheat #homecooked #trumpsquad2020 #trumptrain2020 #maga #trump #trump2020,476600,24400,2700000,0
our parents on their way to tell the neighbor how many people like their biden sign #bidenharris2020 #vote #biden #bluewave,3700000,48000,18300000,1
"im gonna keep updating as we grow, we still got work to do. #fyp #trump2020 #trumptrain2020 #maga",420400,4565,2700000,0
my mom and her husband who haven’t voted democrat before are hoping for a blue wave in texas 2020! #bluewave #texas #bidenharris2020 #swing,3000000,60000,15800000,1
@carsonlee2003 #trump2020 #redkingdom #trumptrain2020 #trumptrain,403500,6769,3500000,0
listen up! we stan our vice president to be!✨🥰 #kamalaharris #bidenharris2020 #joebiden #biden2020 #foryoupage #fyp #bidenforpresident #viral,2700000,32100,15200000,1
the girl who said i looked like squidward haisuxhjx #cashappinbio #cashappinbio #happyholidays #trumptrain2020 #giftofgame #trump2020 #maga #coffee,312200,5065,1500000,0
#vote blue #bidenharris2020 #vote #stress #dammitdog,2000000,113600,6600000,1
@brenna.brownnn #trump2020 #trumptrain2020 #womenfortrump,238800,158400,8900000,0
#greenscreen #greenscreenvideo #fyp #neonshadow #myhobby #biden #bidensgrandson #foryou #crush #bidenharris2020,1800000,0,7200000,1
reposting for election season! #fyp #vote #trump2020 #repost #trumptrain2020 #hedidntwearthiskaren #2020vision #fall,226500,2005,2100000,0
good things happen when dogs are involved #greenscreen #foryou #fyp #xyzbca #foryoupage #bidenharris2020,1600000,15300,6000000,1
yo i legit started crying while coldplay started playing omg 😭 #bidenharris2020 #coldplay #fyp,1600000,13600,6400000,1
celebs for trump pt.2🇺🇸🤍 #fyp #trump2020 #trumpsquad2020 #trumptrain2020 #4moreyears,221000,11900,853200,0
#waxmuseum #berlin #germany #news #politics #fyp #dumptrump2020 #bidenharris2020 #potus #bluewave #vote #usa #wearamask #fdt #trump #8645 #movement,1500000,20100,6100000,1
great conversation #cancelthenoise #trumpsquad2020 #selfcare #trumptrain #trumptrain2020 #omegle #omeglechat #easydiy #foryoupages #foru #fypppp,208900,5336,736900,0
karen’s call the police when no crime has been committed. 💯 #biden2020 #blm #biden #bidencoalition #bidenharris2020 #election,1500000,32900,7600000,1
#greenscreen it’s losing respect for tswizzle for me 👁👄👁 #fyp #fy #trump2020 #trumpsquad2020 #trumptrain2020 #trump #bidenmemes,190800,5408,910800,0
when your trump neighbors want to start a sign war. #bidenharris2020 #facts #corrupttrump #rbg #voteblue,1400000,29800,5500000,1
my onesie is better🇺🇸 #maga #trump2020 #trumptrain2020 #redwave #govote2020 #onsie #wewintogether #womenfortrump,150300,11100,977000,0
#political #politics #trump #maga #politicalmemes #election #congress #biden2020 #trumptrain2020 #trumpsquad2020,149400,3684,1200000,0
anything is possible!🌈 #bidenharris2020 #biden #lgbt #blacktiktok,1300000,13200,5600000,1
it’s easier than it looks #unitedstates #trumpsquad2020 #trumptrain2020 #trumptrain #police #policebrutally #blm #policebrutalitymuststop #foryoupage,147900,4967,711000,0
"#duet with @justalilsylly thank you so much for this @meenaharris and if u can, please vote!! #fyp #election #vote #bidenharris2020",1300000,3965,4800000,1
#maga #trump #trump2020 #trumptrain2020 #republican,146000,1619,2600000,0
